Risk_ID,Risk_Statement,Affected_Assets,Threat,Vulnerability,Inherent_Likelihood_1_5,Inherent_Impact_1_5,Inherent_Risk_Score,Inherent_Risk_Rating,Annex_A_Control,Essential_Eight_Mapping,Regulatory_Flag,Treatment_Option,Treatment_Recommendation,Residual_Likelihood_1_5,Residual_Impact_1_5,Residual_Risk_Score,Residual_Risk_Rating,Owner,Consultant_Verify,Calculated_Risk_Score,Calculated_Risk_Rating
R-001,"External threat actors or malicious insiders may exploit the absence of MFA, the presence of three unchecked full-admin IAM users (IT Coordinator and two developers), and the possibility of unrevoked former contractor credentials (gap: A.8.2, A.8.5, A.5.3) in a single AWS account hosting all NovaPay production systems and customer data, resulting in full account takeover, data exfiltration, and destruction of production and backup data — compromising the confidentiality, integrity, and availability of 14,200 customers' personal and financial information including Equifax credit report data subject to Privacy Act Part IIIA.","IA-001, IA-003, IA-004, IA-008, IA-011",External threat actor / malicious insider credential compromise or account takeover,No MFA on AWS accounts; three unchecked full-admin IAM users; unrevoked former contractor root credentials; single AWS account with no segmentation,5,5,25,CRITICAL,A.8.2 Privileged Access Rights; A.8.5 Secure Authentication; A.5.3 Segregation of Duties; A.5.19 Supplier Relationships,Restrict Administrative Privileges; Multi-Factor Authentication,ASIC RG 255 (current); APRA CPS 234 s.15 (future); Privacy Act APPs + Part IIIA; NDB Scheme,REDUCE,(1) Day 1 — audit IAM credential report; disable unrecognised/contractor credentials. (2) Day 1 — enable MFA on all IAM users including root. (3) Day 1 — remove developer admin rights from production. (4) Week 1 — implement AWS IAM Identity Center with least-privilege role sets. (5) Week 2 — engage AWS security specialist for full architecture review.,2,4,8,MEDIUM,CEO [CONSULTANT TO CONFIRM],Credential audit and revocation must be completed before any other AWS work proceeds. Confirm CloudTrail status.,25,Critical
R-002,"A ransomware operator or account-level threat actor may exploit the co-location of production and backup data within the same AWS account (gap: A.8.13, A.8.22, A.8.31) affecting all customer financial data and platform data stores, resulting in simultaneous encryption or deletion of both production and backup data — compromising the availability and integrity of all NovaPay operational data and eliminating recovery capability.","IA-001, IA-004, IA-008",Ransomware operator or account-level threat actor,Production and backup S3 buckets co-located in single AWS account; no S3 Object Lock; no account separation; no tested restoration process,4,5,20,CRITICAL,A.8.13 Information Backup; A.8.22 Segregation of Networks; A.8.31 Separation of Environments,Regular Backups,APRA CPS 230 (future — operational resilience); ASIC RG 255; Privacy Act APP 11,REDUCE,(1) Create separate AWS account for backups immediately. (2) Enable S3 Object Lock (WORM) on backup bucket. (3) Increase backup frequency to daily incremental / weekly full. (4) Test full restoration immediately then monthly. (5) Consider cross-region replication. (6) Document RTO and RPO.,2,3,6,LOW,IT Coordinator / CEO [CONSULTANT TO CONFIRM],Confirm whether S3 Object Lock or versioning currently enabled on any bucket. Confirm CloudTrail status on backup bucket.,20,Critical
R-003,"NovaPay's confirmed unawareness of ASIC RG 255 incident notification obligations and the absence of an incident response plan and security event detection capability (gap: A.5.24, A.5.25, A.5.26, A.8.15, A.8.16) affecting all information assets, resulting in delayed or failed detection, containment, and notification of a data breach — compromising NovaPay's compliance with the NDB Scheme 30-day notification obligation and ASIC RG 255 requirements, and materially increasing regulatory penalty and licence exposure.","IA-001, IA-004, IA-005","Any threat actor causing a security event; regulatory authority (ASIC, OAIC) enforcement",No incident response plan; no AWS CloudTrail or GuardDuty; no log monitoring; IT Coordinator confirmed unaware of RG 255 notification obligations,5,5,25,CRITICAL,A.5.24 Incident Management Planning; A.5.25 Assessment of Security Events; A.5.26 Response to Incidents; A.8.15 Logging; A.8.16 Monitoring Activities,N/A — process and governance gap,NDB Scheme — 30-day notification; ASIC RG 255 (current live obligation); Privacy Act APP 11; APRA CPS 234 s.22 (future),REDUCE,(1) Develop and approve incident response plan immediately including NDB and ASIC notification procedures. (2) Enable AWS CloudTrail and GuardDuty. (3) Define NDB eligibility decision tree within IRP. (4) Conduct tabletop exercise within 60 days of plan completion. (5) Consider MSSP IR retainer. (6) Brief CEO and IT Coordinator on RG 255 obligations immediately.,2,3,6,LOW,CEO [CONSULTANT TO CONFIRM],Consultant must assess whether past events triggered RG 255 notification obligations. Escalate to legal counsel before any ASIC disclosure decision. Do not characterise past events as notifiable without legal advice.,25,Critical
R-004,"NovaPay's absence of a privacy policy, privacy management framework, data classification, and data handling controls (gap: A.5.34, A.5.12, A.5.14) affecting 14,200 customers' personal and financial information — including Equifax credit report data subject to Privacy Act Part IIIA — constitutes confirmed non-compliance with the Australian Privacy Principles and the credit reporting regime, and unresolved APP 8 cross-border disclosure obligations for Stripe and Xero, exposing NovaPay to OAIC investigation, civil penalty, and a regulatory finding that would materially impair the ADI licence application.","IA-001, IA-002, IA-011","OAIC regulatory enforcement; customer complaints; data disclosure to unconfirmed overseas recipients (Stripe, Xero)",No privacy policy (breach of APP 1); no Part IIIA compliance framework; Stripe and Xero data residency unconfirmed (APP 8 exposure); no data classification; no DLP controls,5,5,25,CRITICAL,A.5.34 Privacy and Protection of Personal Information; A.5.12 Classification of Information; A.5.14 Information Transfer,N/A — regulatory compliance gap,"Privacy Act Part IIIA (credit reporting); Privacy Act APPs 1, 8, 11, 12, 13; NDB Scheme; ASIC RG 255; APRA CPS 234 (future — ADI dependency)",REDUCE + Legal Counsel,"(1) Engage privacy lawyer with Part IIIA expertise immediately. (2) Publish Privacy Policy on website/app (APP 1). (3) Obtain Stripe and Xero data residency confirmation in writing. (4) Conduct privacy impact assessment for lending platform. (5) Implement data classification scheme and M365 Purview sensitivity labels. (6) Map all data flows against APP 8. (7) Establish privacy complaints and access request process (APP 12, 13).",2,2,4,LOW,CEO [CONSULTANT TO CONFIRM],Legal referral mandatory — do not advise on Part IIIA obligations without qualified privacy practitioner. Confirm whether Privacy Policy is currently published. Confirm Equifax contract terms re: security and breach notification.,25,Critical
R-005,"An external threat actor may exploit the absence of security awareness training, the absence of advanced email security controls (M365 Business Basic — no Defender for Office 365), and Security Defaults-only MFA across all 52 NovaPay staff (gap: A.6.3, A.6.8, A.8.7), resulting in a successful phishing or social engineering attack compromising M365 credentials — leading to business email compromise, fraudulent payment redirection, or ransomware deployment.","IA-001, IA-005, IA-009","External threat actor — phishing, BEC, malware delivery via email","Zero security awareness training across 52 staff; M365 Business Basic only (no Safe Links, Safe Attachments, no Conditional Access); MFA via Security Defaults only; no DMARC/DKIM/SPF confirmed",5,4,20,CRITICAL,"A.6.3 Information Security Awareness, Education and Training; A.6.8 Information Security Event Reporting; A.8.7 Protection Against Malware",Multi-Factor Authentication; User Application Hardening; Patch Applications,Privacy Act APP 11; ASIC RG 255; NDB Scheme; APRA CPS 234 s.15 (future),REDUCE,"(1) Implement SPF, DKIM, DMARC immediately — no cost, no licence dependency. (2) Enable M365 anti-phishing baseline policy (available in Basic). (3) Upgrade M365 to Business Premium (~$13,700–$17,500/yr for 52 users) — unlocks Defender, Purview, Intune, Conditional Access. (4) Enrol all 52 staff in security awareness training immediately. (5) Run simulated phishing test within 30 days. (6) Implement Conditional Access post-upgrade; disable Security Defaults.",3,3,9,MEDIUM,CEO / HR [CONSULTANT TO CONFIRM],Confirm M365 licence tier and seat count. Confirm whether any mail flow rules or anti-phishing policies have been manually configured. Confirm DMARC/SPF/DKIM status.,20,Critical
R-006,"An external threat actor may exploit unidentified misconfigurations, unpatched vulnerabilities, or overly permissive security controls in the AWS environment (gap: A.8.8, A.8.9, A.8.20) that have accumulated since the 2022 contractor configuration — affecting 3 EC2 instances, 1 RDS PostgreSQL database, multiple S3 buckets, and Lambda functions in a single unreviewed account — resulting in unauthorised access, data exfiltration, or platform disruption of unknown extent.","IA-001, IA-003, IA-004, IA-010",External threat actor exploiting cloud misconfigurations or unpatched vulnerabilities,AWS environment unreviewed since 2022 contractor configuration; no vulnerability scanning; no configuration baseline; no network segmentation; EC2/RDS patch status unknown; S3 public access settings unreviewed,4,5,20,CRITICAL,A.8.8 Management of Technical Vulnerabilities; A.8.9 Configuration Management; A.8.20 Networks Security; A.5.35 Independent Review of Information Security,Patch Applications; Patch Operating Systems; Configure Microsoft Office Macro Settings,APRA CPS 234 s.19 (future — independent review); ASIC RG 255; Privacy Act APP 11,REDUCE,"(1) Engage AWS-certified security specialist for immediate architecture review — security groups, IAM, S3 bucket policies, EC2/RDS patch status, Lambda roles, network ACLs. (2) Enable AWS Security Hub (Foundational Security Best Practices standard). (3) Enable AWS Inspector for EC2 vulnerability scanning. (4) Conduct penetration test of all internet-facing services and Lambda within 90 days. (5) Implement IaC (CloudFormation/Terraform) for consistent configuration going forward.",2,4,8,MEDIUM,IT Coordinator / CEO [CONSULTANT TO CONFIRM],"AWS security review must commence within 2 weeks. Review findings will generate additional risk register entries. Confirm CloudTrail is active — if not, retroactive log review impossible.",20,Critical
R-007,"An internal developer or external threat actor may exploit insecure coding practices, hardcoded API credentials, or overly permissive IAM execution roles within the AWS Lambda credit scoring function (gap: A.8.25, A.8.26, A.8.28, A.8.4) affecting the Equifax credit report integration and NovaPay RDS database, resulting in unauthorised access to Part IIIA credit report data, exposure of Equifax API credentials, or manipulation of the credit scoring model.","IA-003, IA-011, IA-001 (via RDS)",Internal developer or external threat actor exploiting Lambda function vulnerabilities,No secure development lifecycle; no code review process; potential hardcoded Equifax API credentials in Lambda code or environment variables; overly permissive Lambda IAM execution role; no secrets management,4,5,20,CRITICAL,A.8.25 Secure Development Lifecycle; A.8.26 Application Security Requirements; A.8.28 Secure Coding; A.8.4 Access to Source Code,Patch Applications; Application Control,Privacy Act Part IIIA — credit reporting data security; Privacy Act APP 11; APRA CPS 234 (future); NDB Scheme,REDUCE,(1) Day 1 — audit Lambda environment variables and code for hardcoded credentials. (2) Migrate all credentials to AWS Secrets Manager immediately. (3) Review and right-size Lambda IAM execution role to least privilege. (4) Conduct formal code review of all Lambda functions — focus on Equifax integration. (5) Enable Lambda CloudWatch logging with anomaly alerting. (6) Include Lambda in penetration test scope.,2,3,6,LOW,CTO / IT Coordinator [CONSULTANT TO CONFIRM],Highest-urgency technical finding from gap closure. Lambda code review must be added to immediate AWS review scope. Confirm where Equifax API credentials are currently stored.,20,Critical
R-008,"NovaPay's confirmed unawareness of ASIC RG 255 cyber incident notification obligations (gap: A.5.24, A.5.31, A.5.5) affecting all security events since the AFSL was granted may have resulted in unreported notifiable incidents — exposing NovaPay to retrospective ASIC enforcement action including AFSL suspension or cancellation.","IA-004, IA-001",ASIC regulatory enforcement action for retrospective AFSL non-compliance,IT Coordinator confirmed unaware of RG 255 notification obligations prior to this engagement; no incident register maintained since AFSL grant; no authority contact register,3,5,15,HIGH,"A.5.24 Incident Management Planning; A.5.31 Legal, Statutory, Regulatory and Contractual Requirements; A.5.5 Contact with Authorities",N/A — regulatory governance gap,ASIC RG 255 (current live obligation); AFSL conditions; Corporations Act 2001,REDUCE + Legal Counsel,(1) Escalate to qualified legal counsel immediately — consultant must not advise on whether/what/when to notify ASIC. (2) Compile chronological record of any known security events since AFSL grant for legal review. (3) Implement RG 255-compliant incident assessment and notification procedures within IRP. (4) Brief CEO and board on RG 255 obligations at earliest opportunity.,1,3,3,LOW,CEO [CONSULTANT TO CONFIRM],Escalate to legal counsel immediately. Do not characterise any past event as notifiable or non-notifiable without legal advice.,15,High
R-009,"The former AWS contractor, who had root-level access during the 2022 engagement and is no longer engaged under any contract or NDA, may retain active and unrevoked AWS credentials — enabling unauthorised privileged access to all NovaPay production systems, customer financial data, and proprietary IP without NovaPay's knowledge or consent.","IA-001, IA-003, IA-004, IA-008, IA-011","Former AWS contractor with potentially active root/IAM credentials — no NDA, no contractual restraint",Credential revocation not confirmed after 2022 contractor engagement end; no NDA in place; no CloudTrail logging to detect retrospective access; AWS IAM credentials do not expire automatically,4,5,20,CRITICAL,A.5.19 Information Security in Supplier Relationships; A.6.5 Responsibilities After Termination; A.8.2 Privileged Access Rights; A.5.20 Addressing Information Security in Supplier Agreements,Restrict Administrative Privileges; Multi-Factor Authentication,Privacy Act APP 11; Privacy Act Part IIIA; NDB Scheme (data access = eligible breach); ASIC RG 255; Criminal Code Act 1995 (Cth) — unauthorised computer access,REDUCE — Day 1 Emergency Action,(1) Day 1 — generate AWS IAM credential report; identify and disable all contractor-attributed users/keys. (2) Day 1 — rotate root account password; enable MFA on root immediately. (3) Day 1 — rotate all four current IAM user access keys. (4) Week 1 — review CloudTrail logs for unrecognised access since 2022 (if CloudTrail was active). (5) Week 1 — notify legal counsel; assess whether Criminal Code Act obligations apply.,1,4,4,LOW,CEO [CONSULTANT TO CONFIRM],"Single highest-priority action in this engagement. Complete on Day 1 before all other AWS work. If IAM report shows contractor access post-engagement, treat as active incident — activate IRP and escalate to CEO and legal counsel immediately.",20,Critical
R-010,"NovaPay's absence of a credit reporting compliance framework (gap: A.5.34, A.5.31) for Equifax credit report data held for loan assessments above $10,000 constitutes confirmed non-compliance with Privacy Act 1988 (Cth) Part IIIA — the credit reporting regime — exposing NovaPay to OAIC investigation, civil penalty up to $3.32 million, and a regulatory finding that would materially impair the ADI licence application.","IA-011, IA-001 (credit assessment subset)",OAIC regulatory enforcement; customer complaint triggering investigation; Part IIIA breach finding blocking ADI licence,"No Part IIIA compliance framework; no credit report data lifecycle policy (collection, use, disclosure, retention, destruction); Equifax contract security obligations unreviewed; no technical controls specific to Part IIIA data",4,5,20,CRITICAL,"A.5.34 Privacy and Protection of Personal Information; A.5.31 Legal, Statutory, Regulatory and Contractual Requirements",N/A — regulatory compliance gap,Privacy Act Part IIIA — credit reporting provisions; Privacy Act APPs; NDB Scheme; ASIC RG 255; APRA CPS 234 (future — ADI licence dependency),REDUCE + Legal Counsel,"(1) Engage privacy lawyer with Part IIIA credit reporting expertise immediately. (2) Map all Equifax data lifecycle: collection, storage, use, disclosure, retention, destruction. (3) Implement Part IIIA-compliant data handling and retention/destruction policy. (4) Review Equifax contract for security and breach notification obligations. (5) Implement technical controls: separate classification for Part IIIA data; access restricted to authorised credit assessment staff only.",2,3,6,LOW,CEO [CONSULTANT TO CONFIRM],Legal referral mandatory — consultant must not advise on Part IIIA obligations. Confirm Equifax contract includes security and breach notification terms. Confirm whether NovaPay discloses customer data to Equifax (not just queries).,20,Critical
